x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1460.0021,469.44214,1543.8772,641.3815,0,0.81962526,,person
1447.0365,319.6605,1516.2269,480.17615,0,0.79458976,,person
259.2726,435.06192,326.39185,609.52985,0,0.77871966,,person
664.6176,649.0433,744.25,851.05554,0,0.7719953,,person
1141.4064,950.4307,1245.0444,1080.0,0,0.7463162,,person
1793.9099,144.21172,1850.3972,271.52054,0,0.74506444,,person
750.1344,450.0629,822.3706,619.3534,0,0.74286366,,person
1200.665,126.65378,1255.1891,265.97827,0,0.68485683,,person
198.3392,44.10221,266.8015,160.2247,0,0.6116973,,person
709.8422,242.80357,764.43054,386.6025,0,0.6034851,,person
1138.5809,504.73434,1212.3618,654.01135,14,0.5947892,,bird
88.80731,128.76753,144.91554,252.77472,0,0.5937736,,person
1091.2932,46.183094,1133.344,147.45781,0,0.58757704,,person
1674.501,11.21501,1726.9574,139.91585,0,0.5804825,,person
566.49744,271.45123,628.89276,404.2458,0,0.56674397,,person
892.2422,93.34392,930.74854,210.60457,0,0.5532867,,person
1615.4762,16.916382,1655.0515,127.59574,0,0.5448787,,person
1163.5214,151.06747,1213.8717,279.791,0,0.53465044,,person
925.0007,174.59024,979.94476,306.97568,0,0.53285366,,person
31.566124,792.70294,137.1654,989.49225,0,0.53180516,,person
854.04913,72.29752,894.33215,196.20195,0,0.5230033,,person
1419.1124,702.1368,1525.5399,886.85944,0,0.5166199,,person
798.5396,75.67287,844.38666,203.13054,0,0.5095192,,person
725.62555,5.2740784,770.1738,108.84279,0,0.4829668,,person
32.524933,791.01746,140.47733,990.07654,14,0.47857222,,bird
1699.7697,77.65881,1780.9762,283.0658,0,0.43778077,,person
340.77365,2.0221252,404.78677,137.19655,0,0.420485,,person
1580.9491,19.251177,1621.5406,122.2649,0,0.37633142,,person
1581.5685,15.430252,1637.3219,124.67496,0,0.3573483,,person
1719.3704,76.60879,1781.1223,203.40868,0,0.35719356,,person
571.0832,201.38672,620.85425,289.90677,0,0.34824058,,person
343.34262,493.40314,395.72305,641.9548,0,0.33982843,,person
1897.9377,98.145905,1919.2051,201.03722,0,0.32440603,,person
1298.5547,9.388973,1344.3159,110.151245,0,0.32426366,,person
1850.1434,709.7696,1919.4921,846.7724,0,0.2975182,,person
457.3753,510.5214,515.47815,638.9874,0,0.27366787,,person
983.92865,100.26799,1038.6953,231.6578,0,0.26117378,,person
1592.135,16.742065,1653.1333,126.19883,0,0.25562596,,person
1685.38,151.92665,1764.6998,285.95306,0,0.25082943,,person
1139.3602,941.5229,1242.0496,1080.0,0,0.8252054,,person
1451.3097,321.42355,1519.4982,483.31378,0,0.7734825,,person
670.6694,640.41943,744.891,834.32446,0,0.76420933,,person
